code,direct,opentime,openprice,closetime,closeprice,qty,profit,totalprofit,entertag,exittag,openbarno,closebarno
SZSE.ETF.159915,LONG,202308280958,2.051,202308280959,2.064,100,130,130,,,4,5
SZSE.ETF.159915,SHORT,202308280959,2.064,202308281000,2.056,100,80,210,,,5,6
SZSE.ETF.159915,LONG,202308281000,2.056,202308281001,2.05,100,-60,150,,,6,7
SZSE.ETF.159915,SHORT,202308281001,2.05,202308281003,2.052,100,-20,130,,,7,9
SZSE.ETF.159915,LONG,202308281003,2.052,202308281006,2.055,100,30,160,,,9,12
SZSE.ETF.159915,SHORT,202308281006,2.055,202308281008,2.053,100,20,180,,,12,14
SZSE.ETF.159915,LONG,202308281008,2.053,202308281009,2.051,100,-20,160,,,14,15
SZSE.ETF.159915,SHORT,202308281009,2.051,202308281010,2.047,100,40,200,,,15,16
SZSE.ETF.159915,LONG,202308281022,2.039,202308281023,2.035,100,-40,160,,,28,29
SZSE.ETF.159915,SHORT,202308281023,2.035,202308281026,2.035,100,-0,160,,,29,32
SZSE.ETF.159915,LONG,202308281026,2.035,202308281027,2.037,100,20,180,,,32,33
SZSE.ETF.159915,SHORT,202308281456,2.011,202308281457,2.012,100,-10,170,,,212,213
